texto,rotulo
"Assunto: Confirmação de Reunião Projeto Alpha - 14:00
Olá Equipe,
A reunião sobre o Projeto Alpha está confirmada para hoje, às 14:00, na sala de conferências principal. A pauta será: 1. Revisão do Mockup A; 2. Definição do prazo da Fase 2. Por favor, revisem o documento compartilhado na pasta 'Documentos/Alpha' antes da reunião.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Re: Re: Re: Reunião de brainstorming
Oi pessoal,
Acho que a cor vermelha no slide 7 não está combinando com o tom geral. Alguém mais notou isso? Poderíamos discutir na reunião de sexta, ou talvez mandar mais um e-mail sobre isso. É importante mantermos a estética.
Abs,
[Nome do Remetente]","Não Produtivo"
"Assunto: Ação Necessária: Aprovação do Orçamento de Marketing T3
Prezado(a) [Nome do Destinatário],
Anexo, você encontrará o orçamento detalhado de Marketing para o Terceiro Trimestre. Por favor, revise-o e envie sua aprovação formal por e-mail até o final do dia 15/10, para que possamos iniciar as campanhas a tempo. Qualquer dúvida, por favor, me ligue.
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: E-mail da semana - Novidades e Reflexões
Caros colegas,
Esta semana, reflito sobre a importância da água na vida e como isso se relaciona com nosso trabalho. Assim como a água flui, devemos buscar a fluidez. Compartilho este texto de 10 parágrafos que encontrei na internet sobre o tema. Não exige resposta.
Saudações,
[Nome do Remetente]","Não Produtivo"
"Assunto: Pedido de Suporte Técnico #4590 - Acesso à VPN
Prezado Suporte,
Não consigo me conectar à VPN desde as 10h. Meu login é [Usuário] e estou utilizando Windows 10. Preciso de acesso urgente para o relatório da manhã. Qual o status e o próximo passo?
Obrigado,
[Nome do Remetente]","Produtivo"
"Assunto: Feliz Quarta-feira!
Equipe,
Só passando para desejar uma ótima e produtiva quarta-feira a todos! Lembrem-se de tomar café e sorrir. 😊
Abraços,
[Nome do Remetente]","Não Produtivo"
"Assunto: [URGENTE] Dados Faltantes no Relatório de Vendas de Agosto
[Nome do Destinatário],
Identifiquei que os dados de vendas da regional Sul estão faltando na planilha de agosto (aba 'Consolidado'). Por favor, verifique e insira os dados até o meio-dia, pois preciso enviar o relatório final para a Diretoria.
Grato,
[Nome do Remetente]","Produtivo"
"Assunto: Re: A cor do slide
Eu também achei que o vermelho não ficou bom. Que tal um azul claro? Ou talvez um verde? Precisamos de uma paleta que transmita confiança e inovação ao mesmo tempo. Estou enviando 3 opções de paletas de cores no anexo.
Abs,
[Nome do Remetente]","Não Produtivo"
"Assunto: Solicitação de Licença - [Nome do Colaborador] - 05/11 a 10/11
Prezado RH,
Solicito formalmente a licença não remunerada no período de 05/11/2025 a 10/11/2025. Já treinei o [Nome do Colega] para cobertura durante minha ausência. Aguardo a confirmação da política de licenças.
Atenciosamente,
[Nome do Remetente]","Produtivo"
"Assunto: Notificação de Ausência - Fim de Semana
Este é um e-mail automático. Informo que estarei fora do escritório de sexta-feira, 18h, até segunda-feira, 8h. As mensagens enviadas neste período não serão lidas. Para urgências, ligue para o telefone [Número].
Obrigado.","Não Produtivo"
"Assunto: Follow-up sobre a proposta enviada em 01/09
Prezado [Nome do Cliente],
Gostaria de saber se você teve a chance de revisar a proposta que enviamos no dia 01/09. Caso tenha restado alguma dúvida ou queira agendar uma conversa rápida de 15 minutos, estou à disposição na próxima terça ou quarta.
Cordiais saudações,
[Nome do Remetente]","Produtivo"
"Assunto: Newsletter Semanal - Dicas de Produtividade
Aprenda 5 técnicas inovadoras para gerenciar seu tempo e aumente sua eficiência em 30%! Clique no link e descubra o segredo dos CEOs de sucesso. Não perca!
[Link para o Artigo]
Marketing Digital","Não Produtivo"
"Assunto: Resumo da Reunião de Kick-off do Projeto Novo - Ações Definidas
Equipe,
Segue em anexo o resumo da reunião de hoje com os **próximos passos e responsáveis**:
1. [Ação 1] - Responsável: [Nome] - Prazo: [Data]
2. [Ação 2] - Responsável: [Nome] - Prazo: [Data]
Qualquer discrepância, por favor, comunique-me em até 24h.
Obrigado a todos!
[Nome do Remetente]","Produtivo"
